,user,distance,label
0,USER64,2.5049136737125957e-07,1
1,USER64,1.5383910021733327e-07,1
2,USER64,1.701983726611594e-07,1
3,USER64,5.9557963435179735e-08,1
4,USER64,4.897365853693505e-06,1
5,USER64,1.794012126217292e-08,1
6,USER64,5.025173959236852e-08,1
7,USER64,6.368585703525138e-08,1
8,USER64,5.951018403521304e-08,1
9,USER64,1.1294222082475206e-06,1
10,USER64,6.349438433154573e-08,1
11,USER64,7.629437835284445e-07,1
12,USER64,3.2811631967279764e-08,1
13,USER64,3.8058526200970652e-06,1
14,USER64,6.053428487198444e-08,1
15,USER64,2.820364765951918e-06,1
16,USER64,3.1376668354434414e-06,1
17,USER64,3.059269782343488e-08,1
18,USER64,8.202120716729823e-08,1
19,USER64,2.7910237367902582e-09,1
20,USER64,1.3206116727584399e-07,1
21,USER64,1.389767875637599e-06,1
22,USER64,3.050615651751852e-06,1
23,USER64,1.7471439824803666e-06,1
24,USER64,3.0123309656511885e-08,1
25,USER64,4.944674726874074e-08,1
26,USER64,7.856833901190319e-07,1
27,USER64,4.797186467536347e-07,1
28,USER64,5.042890287722353e-08,1
29,USER64,7.259694215424465e-08,1
30,USER64,9.385553618825589e-09,1
31,USER64,2.9998743538442325e-06,1
32,USER64,1.6975089966232518e-06,1
33,USER64,7.306869566952123e-07,1
34,USER64,1.3424303783137607e-07,1
35,USER64,2.5514266806334025e-08,1
36,USER64,1.2766662162594316e-07,1
37,USER64,1.213580260850564e-07,1
38,USER64,5.381877619601386e-07,1
39,USER64,1.588345738469564e-06,1
40,USER64,2.543753463801796e-07,0
41,USER64,3.2175404077372955e-10,0
42,USER64,3.615186632667036e-63,0
43,USER64,8.940859688959171e-11,0
44,USER64,4.1985163705535995e-11,0
45,USER64,3.205652455179351e-11,0
46,USER64,4.610362799203459e-12,0
47,USER64,3.453250044284151e-09,0
48,USER64,2.814165270485602e-12,0
49,USER64,3.5649764327590154e-11,0
50,USER64,2.9263557636267352e-15,0
51,USER64,3.615566245422341e-26,0
52,USER64,4.487595909934281e-11,0
53,USER64,1.67004145987194e-16,0
54,USER64,2.8130962008612706e-18,0
55,USER64,3.028916720060309e-10,0
56,USER64,7.227809050221282e-09,0
57,USER64,2.7929378351580284e-09,0
58,USER64,2.1115990222371445e-09,0
59,USER64,2.617955612996381e-10,0
0,USER63,3.9327298778235107e-10,1
1,USER63,1.8697315357844157e-11,1
2,USER63,1.6544589381481507e-12,1
3,USER63,1.1283709002446061e-08,1
4,USER63,1.2630351781805645e-12,1
5,USER63,5.491800570458827e-09,1
6,USER63,1.318511271161019e-09,1
7,USER63,1.1466634764360044e-08,1
8,USER63,1.0788198832367782e-08,1
9,USER63,9.830507550580267e-11,1
10,USER63,2.0631072957560414e-09,1
11,USER63,3.974576392331132e-09,1
12,USER63,3.267646648926909e-09,1
13,USER63,2.0467992760230357e-09,1
14,USER63,2.672507392215989e-08,1
15,USER63,7.256009520703184e-09,1
16,USER63,3.970643022310249e-09,1
17,USER63,1.0056928529552118e-08,1
18,USER63,1.5106012483602502e-07,1
19,USER63,4.7360618576178934e-09,1
20,USER63,1.5111197514946911e-09,1
21,USER63,5.775616611718129e-10,1
22,USER63,1.751178794086831e-08,1
23,USER63,7.874235346157881e-08,1
24,USER63,8.989946983068679e-18,1
25,USER63,9.753189623098333e-09,1
26,USER63,2.585675182839727e-07,1
27,USER63,3.6095856205896764e-08,1
28,USER63,9.945788510721472e-09,1
29,USER63,3.676486313986266e-09,1
30,USER63,2.2379364864558693e-08,1
31,USER63,4.162204111628936e-09,1
32,USER63,2.717515185966162e-08,1
33,USER63,1.666424020968368e-11,1
34,USER63,7.861211493393827e-10,1
35,USER63,4.0013012943021665e-08,1
36,USER63,1.6437437375295226e-09,1
37,USER63,2.6338143768400763e-09,1
38,USER63,9.28285634323863e-09,1
39,USER63,2.656857502543597e-09,1
40,USER63,5.110038192361956e-181,0
41,USER63,2.7562467877695444e-86,0
42,USER63,1.5990945171073733e-98,0
43,USER63,7.850881809236254e-53,0
44,USER63,7.02887402937191e-76,0
45,USER63,1.0232704861637542e-43,0
46,USER63,7.640270463030907e-227,0
47,USER63,4.650362990351404e-173,0
48,USER63,5.404952186649599e-60,0
49,USER63,3.324600333073003e-95,0
50,USER63,2.6315169033104074e-12,0
51,USER63,1.8574279826248112e-14,0
52,USER63,9.86934633427577e-10,0
53,USER63,7.568348587014492e-13,0
54,USER63,1.4075575239577417e-19,0
55,USER63,5.629462456912481e-72,0
56,USER63,1.941057605976026e-46,0
57,USER63,3.986194802473109e-41,0
58,USER63,3.2918041318349446e-30,0
59,USER63,1.9125823851608725e-29,0
0,USER55,1.2140658923495492e-06,1
1,USER55,5.351346409996098e-07,1
2,USER55,7.291475718165685e-06,1
3,USER55,7.748575017367064e-08,1
4,USER55,1.4254627796497011e-05,1
5,USER55,3.487147104951744e-07,1
6,USER55,3.2825598644024404e-06,1
7,USER55,1.5347043086160425e-06,1
8,USER55,1.2334831993028254e-07,1
9,USER55,1.6843056316756764e-05,1
10,USER55,2.2159477012719213e-06,1
11,USER55,6.193602005588593e-06,1
12,USER55,8.398875444802371e-08,1
13,USER55,1.668467469813266e-06,1
14,USER55,1.3415124862417446e-05,1
15,USER55,3.3418582914095815e-07,1
16,USER55,1.4578030348980116e-07,1
